Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"main_getcmdline",1,99.97,14.63,"8,312.91","1,216.32","Project_Valerian.exe",
"`vector constructor iterator'","8,775",21.70,13.85,0.67,0.13,"Project_Valerian.exe",
"Spritesheet::Sprite_Instructions::Sprite_Instructions","3,236,000",6.00,6.00,0.00,0.00,"Project_Valerian.exe",
"_RTC_CheckEsp","10,374,267",5.34,5.34,0.00,0.00,"Project_Valerian.exe",
"SDL_main",1,85.34,4.60,"7,096.60",382.79,"Project_Valerian.exe",
"init",1,3.35,3.35,278.72,278.72,"Project_Valerian.exe",
"Global_Service_Locator::get_MB_Pointer","3,991,728",3.03,3.03,0.00,0.00,"Project_Valerian.exe",
"Render_Component::Check_For_Messages",584,9.48,2.67,1.35,0.38,"Project_Valerian.exe",
"Render_Component::Check_Tile_Update_Message","352,122",5.75,2.39,0.00,0.00,"Project_Valerian.exe",
"std::_Container_base12::_Orphan_all","112,563",2.60,2.38,0.00,0.00,"Project_Valerian.exe",
"std::_String_alloc<std::_String_base_types<char,std::allocator<char> > >::_Get_data","626,263",2.28,2.07,0.00,0.00,"Project_Valerian.exe",
"operator new","72,774",1.98,1.98,0.00,0.00,"Project_Valerian.exe",
"std::_String_alloc<std::_String_base_types<char,std::allocator<char> > >::_Myproxy","308,349",2.31,1.92,0.00,0.00,"Project_Valerian.exe",
"std::_Iterator_base12::~_Iterator_base12","84,911",2.10,1.87,0.00,0.00,"Project_Valerian.exe",
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Tidy_deallocate","48,730",6.96,1.74,0.01,0.00,"Project_Valerian.exe",
"std::_String_alloc<std::_String_base_types<char,std::allocator<char> > >::_Orphan_all","102,549",7.10,1.73,0.01,0.00,"Project_Valerian.exe",
"AI_Movement_Component::Check_For_Messages",583,4.16,1.72,0.59,0.25,"Project_Valerian.exe",
"Spritesheet::Spritesheet",809,21.53,1.69,2.21,0.17,"Project_Valerian.exe",
"std::_Tree_comp_alloc<std::_Tmap_traits<Coordinate,Tile,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,Tile> >,0> >::_Getcomp","176,295",1.64,1.59,0.00,0.00,"Project_Valerian.exe",
"std::_Uninitialized_backout_al<std::basic_string<char,std::char_traits<char>,std::allocator<char> > *,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >::_Emplace_back<std::basic_string<char,std::char_traits<char>,std::allocator<char> > &>","32,103",4.42,1.34,0.01,0.00,"Project_Valerian.exe",
"std::_Vector_alloc<std::_Vec_base_types<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > > >::_Myfirst","49,256",1.40,1.33,0.00,0.00,"Project_Valerian.exe",
"std::vector<int,std::allocator<int> >::size","1,488",1.18,1.17,0.07,0.07,"Project_Valerian.exe",
"Draw_System::Stamp_Sprite_Onto_Multisprite","10,882",2.47,1.15,0.02,0.01,"Project_Valerian.exe",
"std::less<Coordinate>::operator()","315,330",1.28,1.14,0.00,0.00,"Project_Valerian.exe",
"FC_LoadFontFromTTF",5,1.46,1.13,24.28,18.83,"Project_Valerian.exe",
"std::_Tree_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > > >::~_Tree_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > > >","28,515",1.21,0.96,0.00,0.00,"Project_Valerian.exe",
"Object_Service_Locator::Return_AI_Movement_Pointer","441,322",0.91,0.91,0.00,0.00,"Project_Valerian.exe",
"Custom_Message::Read_Message","2,758,549",0.87,0.87,0.00,0.00,"Project_Valerian.exe",
"AI_Stats_Component::Check_For_Messages",583,1.33,0.86,0.19,0.12,"Project_Valerian.exe",
"Spritesheet::Init_As_Multisprite",368,0.82,0.82,0.18,0.18,"Project_Valerian.exe",
"std::_Tree<std::_Tmap_traits<Coordinate,Tile,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,Tile> >,0> >::end","9,504",0.89,0.78,0.01,0.01,"Project_Valerian.exe",
"_RTC_CheckStackVars","993,944",0.72,0.72,0.00,0.00,"Project_Valerian.exe",
