Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"AI_Stats_Component::Update","100,479",23.47,23.40,0.03,0.03,"Project_Valerian.exe",
"`vector constructor iterator'","8,780",16.32,8.00,0.22,0.11,"Project_Valerian.exe",
"_RTC_CheckEsp","14,238,508",6.45,6.45,0.00,0.00,"Project_Valerian.exe",
"Spritesheet::Sprite_Instructions::Sprite_Instructions","3,236,000",5.27,5.27,0.00,0.00,"Project_Valerian.exe",
"AI_Stats_Component::Check_For_Messages","99,900",6.86,3.64,0.01,0.00,"Project_Valerian.exe",
"Global_Service_Locator::get_MB_Pointer","5,509,486",3.63,3.63,0.00,0.00,"Project_Valerian.exe",
"Render_Component::Check_For_Messages","99,900",6.38,2.33,0.01,0.00,"Project_Valerian.exe",
"init",1,1.95,1.95,230.37,230.37,"Project_Valerian.exe",
"std::_String_alloc<std::_String_base_types<char,std::allocator<char> > >::_Get_data","73,353",1.89,1.86,0.00,0.00,"Project_Valerian.exe",
"std::_Iterator_base12::operator=","62,181",3.33,1.56,0.01,0.00,"Project_Valerian.exe",
"operator new","85,148",1.55,1.55,0.00,0.00,"Project_Valerian.exe",
"std::_Container_base12::_Orphan_all","139,755",1.76,1.51,0.00,0.00,"Project_Valerian.exe",
"AI_Rel_Component::Check_For_Messages","99,900",1.87,1.45,0.00,0.00,"Project_Valerian.exe",
"std::_String_alloc<std::_String_base_types<char,std::allocator<char> > >::_Get_data","772,042",1.62,1.33,0.00,0.00,"Project_Valerian.exe",
"Render_Component::Check_Tile_Update_Message","364,815",2.68,1.12,0.00,0.00,"Project_Valerian.exe",
"std::_String_alloc<std::_String_base_types<char,std::allocator<char> > >::_Myproxy","382,680",2.33,1.10,0.00,0.00,"Project_Valerian.exe",
"std::_Vector_alloc<std::_Vec_base_types<std::vector<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >,std::allocator<std::vector<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > > > > >::_Myfirst","6,089",1.04,1.03,0.02,0.02,"Project_Valerian.exe",
"std::_Tree<std::_Tmap_traits<Coordinate,Tile,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,Tile> >,0> >::_Kfn","207,122",1.04,0.99,0.00,0.00,"Project_Valerian.exe",
"std::less<Coordinate>::operator()","370,712",1.10,0.97,0.00,0.00,"Project_Valerian.exe",
"std::_Default_allocator_traits<std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >::select_on_container_copy_construction","3,458",0.96,0.96,0.03,0.03,"Project_Valerian.exe",
"std::_Debug_lt_pred<std::less<Coordinate> const &,Coordinate const &,Coordinate const &>","228,539",2.05,0.96,0.00,0.00,"Project_Valerian.exe",
"Object::Update","100,479",29.57,0.95,0.03,0.00,"Project_Valerian.exe",
"__security_check_cookie","1,500,510",0.94,0.94,0.00,0.00,"Project_Valerian.exe",
"std::_Tree<std::_Tmap_traits<Coordinate,Tile,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,Tile> >,0> >::_Lbound<Coordinate>","10,645",3.07,0.94,0.03,0.01,"Project_Valerian.exe",
"std::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > > >::~_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > > >","79,321",1.96,0.94,0.00,0.00,"Project_Valerian.exe",
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::basic_string<char,std::char_traits<char>,std::allocator<char> >","45,641",3.88,0.86,0.01,0.00,"Project_Valerian.exe",
"std::_Tree_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > > >::~_Tree_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > > >","33,920",1.94,0.86,0.01,0.00,"Project_Valerian.exe",
"std::_String_alloc<std::_String_base_types<char,std::allocator<char> > >::_Free_proxy","59,823",2.73,0.79,0.01,0.00,"Project_Valerian.exe",
"std::forward<std::allocator<char> >","102,708",0.78,0.78,0.00,0.00,"Project_Valerian.exe",
"std::_String_alloc<std::_String_base_types<char,std::allocator<char> > >::_Getal","66,746",0.79,0.76,0.00,0.00,"Project_Valerian.exe",
"Object::Collect_Bus_Messages","99,900",17.16,0.76,0.02,0.00,"Project_Valerian.exe",
"std::_Iterator_base12::_Adopt","103,334",1.89,0.76,0.00,0.00,"Project_Valerian.exe",
"std::_Iterator_base12::~_Iterator_base12","103,445",0.96,0.75,0.00,0.00,"Project_Valerian.exe",
"Render_Component::Draw_Overlays","182,400",0.89,0.74,0.00,0.00,"Project_Valerian.exe",
"Spritesheet::Draw","61,875",0.74,0.74,0.00,0.00,"Project_Valerian.exe",
"operator delete","72,435",0.73,0.73,0.00,0.00,"Project_Valerian.exe",
"AI_Stats_Component::Update_Stat","364,815",0.69,0.69,0.00,0.00,"Project_Valerian.exe",
"main",1,99.36,0.69,"11,752.10",81.79,"Project_Valerian.exe",
"Custom_Message::Read_Message","3,588,219",0.66,0.66,0.00,0.00,"Project_Valerian.exe",
"Spritesheet::Add_Sprite_Instructions","146,196",0.59,0.58,0.00,0.00,"Project_Valerian.exe",
"Spritesheet::Spritesheet",809,15.50,0.57,2.27,0.08,"Project_Valerian.exe",
"FC_LoadFontFromTTF",5,0.73,0.56,17.39,13.28,"Project_Valerian.exe",
"Object_Service_Locator::Return_AI_Stats_Pointer","464,896",0.50,0.50,0.00,0.00,"Project_Valerian.exe",
"SDL_main",1,98.67,0.47,"11,669.96",56.15,"Project_Valerian.exe",
